,SUBJECT:,SECTION:,COURSE SCHEDULE,I can easily log-in and log-out my Canvas account.,I can access my course using the mobile Canvas app.,I can access my Canvas account using the available computers in JRU.,I have no issues accessing my Canvas account using JRU's wifi connection.,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,I can easily get help when I have problems with my Canvas account.,I can access my Canvas account outside JRU.,I can clearly understand the lessons on my Canvas modules.,I recognize that the modules in my course are well organized.,I can easily manage the navigation of the courses through the desktop version.,I can easily manage the navigation of the courses through the mobile app.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I understand the lessons better with the help of course materials in Canvas.,Canvas course materials make me interested.,The course materials on Canvas helped me prepare for: Face to Face discussions,The course materials on Canvas helped me prepare for: Quizzes,The course materials on Canvas helped me prepare for: Prelim/Mid-term/Final Exam,The course materials on Canvas helped me prepare for: Other Tasks,My instructor knows how to use Canvas.,My instructor demonstrated mastery of the subject matter.,My instructor encourages me to use Canvas.,Canvas has made it easy for me to: Communicate with my instructor,Canvas has made it easy for me to: Receive class announcements,Canvas has made it easy for me to: Share ideas on group discussions,"I can answer the assessment materials (quiz, exam) posted in Canvas.",I find the course materials on Canvas aligned with the: Quizzes,"I find the course materials on Canvas aligned with the: Major (Prelim, Mideterm, Final) Exam",I find the course materials on Canvas aligned with the: Other tasks,I have been give enough time to accomplish the activities on Canvas.,What I like best in Canvas is/are:,What I like least in Canvas is/are:,I would like to suggest:
747,HIS C101- Readings in Philippine History,BSA-101A,12:00 PM,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,There are to do list of all the activities you need to do,There's no notification whether the activity is going to close,I would like to suggest to make the articles readable and in a Ppt presentation so that it can be read properly
753,HIS C101- Readings in Philippine History,103P,10:30 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,,,
759,HIS C101- Readings in Philippine History,101M,10:30 AM,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,acessible,,Profs. should also master the canvas. because some of them doesn't know how to use
775,HIS C101- Readings in Philippine History,103TM,01:30 PM,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,It is accessible.,,Improve canvas.
776,HIS C101- Readings in Philippine History,105A,01:30 AM,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"I can easily answer all my quizzes, assignments and activities because I can access canvas",Time limits,Remove time limits
783,HIS C101- Readings in Philippine History,BSA-103A,01:30 PM,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,,,
790,HIS C101- Readings in Philippine History,101G,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Accessible in and out of the campus.,There are some contents that didn't appear during major exams.,
794,HIS C101- Readings in Philippine History,101 TM,09:00 AM,Strongly Agree,Strongly Agree,,,,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,
795,HIS C101- Readings in Philippine History,102DA,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Convenient,None,None
802,HIS C101- Readings in Philippine History,101 i,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,
