,SUBJECT:,SECTION:,COURSE SCHEDULE,I can easily log-in and log-out my Canvas account.,I can access my course using the mobile Canvas app.,I can access my Canvas account using the available computers in JRU.,I have no issues accessing my Canvas account using JRU's wifi connection.,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,I can easily get help when I have problems with my Canvas account.,I can access my Canvas account outside JRU.,I can clearly understand the lessons on my Canvas modules.,I recognize that the modules in my course are well organized.,I can easily manage the navigation of the courses through the desktop version.,I can easily manage the navigation of the courses through the mobile app.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I understand the lessons better with the help of course materials in Canvas.,Canvas course materials make me interested.,The course materials on Canvas helped me prepare for: Face to Face discussions,The course materials on Canvas helped me prepare for: Quizzes,The course materials on Canvas helped me prepare for: Prelim/Mid-term/Final Exam,The course materials on Canvas helped me prepare for: Other Tasks,My instructor knows how to use Canvas.,My instructor demonstrated mastery of the subject matter.,My instructor encourages me to use Canvas.,Canvas has made it easy for me to: Communicate with my instructor,Canvas has made it easy for me to: Receive class announcements,Canvas has made it easy for me to: Share ideas on group discussions,"I can answer the assessment materials (quiz, exam) posted in Canvas.",I find the course materials on Canvas aligned with the: Quizzes,"I find the course materials on Canvas aligned with the: Major (Prelim, Mideterm, Final) Exam",I find the course materials on Canvas aligned with the: Other tasks,I have been give enough time to accomplish the activities on Canvas.,What I like best in Canvas is/are:,What I like least in Canvas is/are:,I would like to suggest:
2011,HIS C101- Readings in Philippine History,BSIT-101I,01:30 PM,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Easy to use,All information is organised,Make it easier to find the task given by the instructor
2026,HIS C101- Readings in Philippine History,203M,03:00 PM,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very informative,,To notify repeatedly the owner of the account until they open it.
2027,HIS C101- Readings in Philippine History,101A,12:00 PM,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
2031,HIS C101- Readings in Philippine History,BSBA-MGT 101M,10:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,I can review when there's an exam.,Canvas is quite confusing sometimes.,
2032,HIS C101- Readings in Philippine History,103x,10:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,Strongly Agree,,,Agree,Agree,,,,,,,,,Agree,,,Agree,,Agree,Agree,,,Agree,,,
2046,HIS C101- Readings in Philippine History,101GA,01:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,i can learn what i need to learn before our class,taking seatwork in the canvas is more easy,none
2047,HIS C101- Readings in Philippine History,101s,09:00 AM,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,easy to access.,time limit,to longer the time limit and to longer the due date.
2054,HIS C101- Readings in Philippine History,103x,09:00 AM,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,,,
2055,HIS C101- Readings in Philippine History,101S,09:00 AM,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I can open my canvas anytime.,the least that a like in the canvas  the quizzes and give us time limit to answered na question.,
2056,HIS C101- Readings in Philippine History,101S,09:00 AM,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Less time consuming,Deadline and Time Limit is not enough,
2060,HIS C101- Readings in Philippine History,101-P,09:00 AM,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
2067,HIS C101- Readings in Philippine History,BSIT 102I,01:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,the accesibility and portability,it doesnt really send me notifications right away if I have things to finish or answer,nothing
2068,HIS C101- Readings in Philippine History,C103,01:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The ease of access to aasignments,"some announcements don't pull through sometimes, so I either don't get notified at all or get notified late.",A better way of notifying students.
2071,HIS C101- Readings in Philippine History,BS-104A,03:00 PM,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Modules that I have time to advance reading,Having code each activity,Make an alarm to their canvas so that they will remember what activity they need to do
2073,HIS C101- Readings in Philippine History,202F,10:30 AM,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,It easy to use you can access canvas everywhere if you have internet connection,The TIME LIMIT of assignments because not everyone have good internet in their homes it may cause disadvantage for not passing assignments on time. So I recommend to change this make a OPEN TIME so we dont have to worry passing our assignments in canvas anytime.,"A OPEN TIME access to any Assignments in canvas before deadline. Because not everyone have a good internet connection, So they dont have to worry to pass the assignments on time because their no TIME LIMIT anymore."
2078,HIS C101- Readings in Philippine History,101LM,12:00 PM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Convenience to learn even outside the campus,Prone to laziness for students.,
2080,HIS C101- Readings in Philippine History,101LM,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Accessibility in canvas wherever you go,Prone to laziness,Nothing
2088,HIS C101- Readings in Philippine History,102P,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,,,Please upload modules and activities early.
2094,HIS C101- Readings in Philippine History,105X,10:30 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The modules and announcement.,,"Appreciate the task and activities of the students, don't pressure the students,follow only the instruction in the given activites"
2095,HIS C101- Readings in Philippine History,105X,10:30 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,we can open the lessons anytime,,"Learn to appreciate and don't under estimate the works and skills of the students, follow only the given activities in canvas, don't pressure the students."
2106,HIS C101- Readings in Philippine History,101I,12:00 PM,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
2111,HIS C101- Readings in Philippine History,BSA 105A,07:30 AM,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,,,"During examination, it should not have a Batch 1 and Batch 2 and also there should be no other sections who are inside the examination room."
2112,HIS C101- Readings in Philippine History,101-F,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,lesson,tou much activities and deadlines.,to put at the powerpoint presentation and summaries discussion.
2121,HIS C101- Readings in Philippine History,102p,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,The professor must discuss the lesson written on the canvas. Don't rely on the canvas (only).
2122,HIS C101- Readings in Philippine History,104i,07:30 AM,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,the system,the notification is delayed,better optimization on apple devices
2126,HIS C101- Readings in Philippine History,101F,09:00 AM,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,,Activities,Do the lessons in PowerPoint presentation
2127,HIS C101- Readings in Philippine History,101M,10:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
2129,HIS C101- Readings in Philippine History,101F,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,accessible,too many activities needed to pass,to put all the lessons in a PowerPoint Presentation so that it will be easier for the students to summarize the important terms in each slides.
2148,HIS C101- Readings in Philippine History,BSIT102I,01:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
2152,HIS C101- Readings in Philippine History,105I,04:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Modules and Assignments.,Grades,Please no due date.
2159,HIS C101- Readings in Philippine History,BSA-101A,12:00 PM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
2174,HIS C101- Readings in Philippine History,BSIT-101I,12:00 PM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,easy to use.,the timing of the test.,improve more.
2175,HIS C101- Readings in Philippine History,101-T,07:30 AM,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Accessible,,
2176,HIS C101- Readings in Philippine History,BSBA MKTG 101K,01:30 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
2180,HIS C101- Readings in Philippine History,103X,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Announcement,Module or activities that will pass trough powerpoint,Improve the module so that we can easily undersand our lessons
2184,HIS C101- Readings in Philippine History,101A,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
2188,HIS C101- Readings in Philippine History,BSA 101A,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,,,DON'T use canvas in conducting prelim/midterm/final exam. So unnecessary. Face to face examination is still better.
2193,HIS C101- Readings in Philippine History,103M,10:30 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Online,The submit button is sometimes missing,
2197,HIS C101- Readings in Philippine History,103S,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
2202,HIS C101- Readings in Philippine History,BSHM - CMGT 101s,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It made me understand my lessons better,"Complicated especially the notification. Even it was already reached its deadline, it's still there that causes for old notifications and new notifications mixed up.",Have maitainance maybe once or twice a month to avoid bugging and improve the system
2203,HIS C101- Readings in Philippine History,103x,09:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,it helps me keep on track with tasks i have done and have not done yet,tasks and quizzes can be locked after the said date,that canvas should notify me when there is an upcoming task or a deadline just like in other social medias it will serve as a reminder for the student
2205,HIS C101- Readings in Philippine History,102G,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,The process of Canvas,The Canvas,Use the Canvas
2208,HIS C101- Readings in Philippine History,104I,07:30 AM,Agree,,Strongly Agree,Strongly Agree,Disagree,,Strongly Agree,Disagree,Agree,Agree,,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,"I can take more time  to answer the quizzes, activities, and etc.",The quizzes that are lock and that have codes,That the canvas will provide the code so that we cannot missed a quiz or activity before the deadline period.
2209,HIS C101- Readings in Philippine History,BSTM 101,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Easy to access,Nothing,All subject is on canvas
2220,HIS C101- Readings in Philippine History,BSA-105A,07:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,,Strongly Agree,"As a new student at Jose Rizal University, what I like best in the Canvas is easy to access especially if we have quizzes, passing of requirements, and answering modules and also I can review the modules anytime.",I noticed that some of my professor their lesson are not in the canvas.,"I would like to suggest, professor, must be taught the modules in the canvas so that it's easy for us to understand because when we take a prelim exam our exam was not part in the lesson of my professor"
2225,HIS C101- Readings in Philippine History,101TM,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,What I like best in Canvas is that I can easily access in anytime anywhere.,What I like least in Canvas is that it don't have any notification to notify me is there is something new to work on.,I would like to suggest to have a notification so that mobile users will easily notify if there are something new to study or to work on.
2232,HIS C101- Readings in Philippine History,101TM,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Accessible,,
2240,HIS C101- Readings in Philippine History,102P,01:30 PM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,I like best in Canvas are loading is very fast,I like least in Canvas is not cooperate.,i would like to suggest is good.
2243,HIS C101- Readings in Philippine History,101s,09:00 AM,Strongly Agree,Strongly Agree,,Agree,,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,it is accessible,there are minimal issues,to provide more options
2251,HIS C101- Readings in Philippine History,102P,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Accessibility,None,None
2269,HIS C101- Readings in Philippine History,102P,12:00 PM,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,
2287,HIS C101- Readings in Philippine History,103x,09:00 AM,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,it helps me a lot in my tasks,,
2288,HIS C101- Readings in Philippine History,401 N,07:30 PM,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,All the topic on the exam is in the module,There is too much to read and sometimes because too much requirements in the school i have no time to read the materials in canvas and sometimes it hard to log in.,Notifications alert.
2289,HIS C101- Readings in Philippine History,BSBA 103k,09:00 PM,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,,,"Send a notification of all assignment,forum, activity"
2291,HIS C101- Readings in Philippine History,BSHM-CMGT 101S,09:00 AM,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,i can see my scores immediately after i take any kind of exam put it here,i need internet before i access,i hope our new professor will teach us and he will not depending of his trip
2315,HIS C101- Readings in Philippine History,BSIT 101i,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,,,
2319,HIS C101- Readings in Philippine History,BSA102A,07:30 AM,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,I have enough time to answer the quiz and etc.,,
