First,Second,Third
"[('help', 'NN'), ('knowledge', 'VB'), ('self', 'NN'), ('study', 'NN'), ('home', 'NN'), ('whenever', 'WRB'), ('go', 'VB')]","[('better', 'JJR'), ('communication', 'NN'), ('easily', 'RB'), ('message', 'VB'), ('teacher', 'NN')]","[('suggest', 'NN'), ('group', 'NN'), ('chat', 'WP'), ('specific', 'JJ'), ('section', 'NN'), ('wherein', 'NN'), ('could', 'MD'), ('talk', 'VB'), ('discussions', 'NNS'), ('assignments', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('access', 'NN'), ('modules', 'NNS'), ('ever', 'RB')]","[('nothng', 'NN')]","[('nothing', 'NN')]"
"[('accessibility', 'NN')]","[('accessibility', 'NN')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('convenient', 'NN'), ('allot', 'NN'), ('enough', 'JJ'), ('time', 'NN'), ('major', 'JJ'), ('subjects', 'NNS'), ('helps', 'VBZ'), ('enhance', 'VB'), ('time', 'NN'), ('management', 'NN'), ('skills', 'NNS')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]",[]
"[('modules', 'NNS')]","[('none', 'NN')]","[('none', 'NN')]"
"[('submit', 'NN'), ('assignment', 'JJ'), ('online', 'NN'), ('enough', 'JJ'), ('time', 'NN'), ('pass', 'NN'), ('activity', 'NN'), ('take', 'VB'), ('quizzes', 'NNS'), ('online', 'JJ'), ('discussion', 'NN'), ('uploaded', 'VBD'), ('canvas', 'NN')]","[('show', 'NN'), ('mistakes', 'VBZ'), ('quizzes', 'JJ'), ('makes', 'VBZ'), ('us', 'PRP'), ('confuse', 'VB'), ('kind', 'NN'), ('mistake', 'NN'), ('number', 'NN'), ('answered', 'VBN'), ('incorrectly', 'RB')]","[('show', 'NN'), ('least', 'JJS'), ('incorrect', 'JJ'), ('answers', 'NNS'), ('make', 'VBP'), ('lessons', 'NNS'), ('uploaded', 'VBD'), ('summarize', 'JJ'), ('get', 'NN'), ('important', 'JJ'), ('details', 'NNS'), ('much', 'RB'), ('details', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('improve', 'VB'), ('modules', 'NNS'), ('modules', 'VBZ'), ('lack', 'JJR'), ('details', 'NNS')]"
