First,Second,Third
"[('none', 'NN'), ('discussion', 'NN'), ('classroom', 'NN'), ('helpful', 'NN'), ('rather', 'RB'), ('using', 'VBG'), ('canvas', 'JJ'), ('tool', 'NN'), ('teaching', 'VBG')]","[('times', 'NNS'), ('app', 'VBP'), ('site', 'NN'), ('crashes', 'NNS'), ('results', 'NNS'), ('making', 'VBG'), ('work', 'NN'), ('unsaved', 'JJ'), ('times', 'NNS'), ('quizzes', 'JJ'), ('exams', 'NNS'), ('mentioned', 'VBD'), ('module', 'NN'), ('reflects', 'VBZ'), ('questionnaire', 'NN')]","[('shutdown', 'JJ'), ('canvas', 'NN'), ('provide', 'VBP'), ('powerful', 'JJ'), ('tool', 'NN'), ('making', 'VBG'), ('topics', 'NNS'), ('learnable', 'JJ')]"
"[('easy', 'JJ'), ('use', 'NN')]","[('comment', 'NN')]","[('comment', 'NN')]"
"[('easy', 'JJ'), ('access', 'NN')]","[('prof', 'NN'), ('monitor', 'NN')]","[('subj', 'NN'), ('suggest', 'VBP'), ('give', 'VB'), ('us', 'PRP'), ('keyword', 'VB'), ('types', 'NNS'), ('lecture', 'VB'), ('long', 'RB'), ('readable', 'JJ'), ('context', 'NN')]"
"[('none', 'NN')]","[('everything', 'NN')]","[('bring', 'VBG'), ('back', 'RP'), ('traditional', 'JJ'), ('way', 'NN'), ('teaching', 'NN')]"
"[('accessible', 'JJ')]","[('canvas', 'NN'), ('app', 'NN'), ('features', 'VBZ'), ('characteristics', 'NNS'), ('canvas', 'NN'), ('google', 'NN')]","[('suggestions', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('access', 'NN'), ('lesson', 'NN')]","[('limited', 'JJ'), ('information', 'NN')]","[('access', 'NN'), ('canvas', 'NN'), ('even', 'RB'), ('without', 'IN'), ('internet', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('sometimes', 'RB'), ('household', 'JJ'), ('chores', 'NNS'), ('home', 'NN'), ('lot', 'NN'), ('activities', 'NNS'), ('quizzes', 'VBZ'), ('canvas', 'NN'), ('articles', 'NNS'), ('long', 'RB'), ('enough', 'JJ'), ('time', 'NN'), ('read', 'JJ'), ('responsibility', 'NN'), ('home', 'NN'), ('focus', 'NN'), ('major', 'JJ'), ('subject', 'NN')]","[('must', 'MD'), ('take', 'VB'), ('exams', 'JJ'), ('face', 'NN'), ('face', 'NN'), ('test', 'VBP'), ('paper', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('modules', 'NNS')]","[('features', 'NNS')]","[('improve', 'VB'), ('canvas', 'NN'), ('using', 'VBG'), ('mobile', 'JJ'), ('phone', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('modules', 'NNS'), ('gives', 'VBZ'), ('informations', 'NNS')]","[('masyadong', 'RB'), ('maraming', 'VBG'), ('informations', 'NNS'), ('sa', 'JJ'), ('documents', 'NNS'), ('sa', 'VBP'), ('module', 'NN'), ('causing', 'VBG'), ('students', 'NNS'), ('read', 'VBP')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('modules', 'NNS'), ('direct', 'JJ'), ('informations', 'NNS'), ('also', 'RB'), ('professor', 'VBP'), ('discuss', 'JJ'), ('face', 'NN'), ('face', 'VBP'), ('properly', 'RB'), ('every', 'DT'), ('topics', 'NNS')]"
"[('exam', 'JJ'), ('time', 'NN'), ('limit', 'NN')]","[('lessons', 'NNS'), ('included', 'VBD'), ('exam', 'NN'), ('quiz', 'NN')]","[('please', 'VB'), ('relate', 'VB'), ('exam', 'JJ'), ('quiz', 'NN'), ('modules', 'NNS'), ('presented', 'VBD'), ('related', 'JJ'), ('many', 'JJ'), ('student', 'NN'), ('get', 'VB'), ('lease', 'JJ'), ('score', 'NN'), ('exam', 'NN'), ('continued', 'VBD'), ('final', 'JJ'), ('grades', 'NNS')]"
"[('easy', 'JJ'), ('access', 'NN')]","[('none', 'NN')]","[('summarize', 'NN'), ('lessons', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('understand', 'NN'), ('lesson', 'NN')]","[('short', 'JJ'), ('period', 'NN'), ('time', 'NN'), ('activity', 'NN')]","[('please', 'VB'), ('notify', 'JJ'), ('give', 'VB'), ('us', 'PRP'), ('enough', 'JJ'), ('time', 'NN'), ('activity', 'NN')]"
"[('home', 'NN'), ('study', 'NN')]","[('easy', 'JJ'), ('use', 'NN')]","[('make', 'VB'), ('pop', 'JJ'), ('signal', 'JJ'), ('new', 'JJ'), ('assignment', 'NN'), ('quiz', 'NN'), ('seatwork', 'NN')]"
"[('answering', 'VBG'), ('assignment', 'NN'), ('activity', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('accomplish', 'JJ'), ('school', 'NN'), ('works', 'VBZ'), ('quizzes', 'VBZ'), ('exam', 'NN')]","[('cant', 'JJ'), ('access', 'NN'), ('canvas', 'NN'), ('without', 'IN'), ('internet', 'JJ'), ('connection', 'NN')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('exam', 'NN'), ('week', 'NN'), ('dont', 'JJ'), ('move', 'NN'), ('day', 'NN'), ('reminders', 'NNS'), ('canvas', 'VBP'), ('dont', 'JJ'), ('renew', 'NN'), ('schedule', 'NN'), ('us', 'PRP'), ('take', 'VBP'), ('prelim', 'JJ'), ('exam', 'NN'), ('kind', 'NN'), ('issue', 'NN'), ('also', 'RB'), ('gave', 'VBD'), ('us', 'PRP'), ('short', 'JJ'), ('time', 'NN'), ('answer', 'NN'), ('thank', 'NN')]"
"[('quizzes', 'JJ'), ('activities', 'NNS'), ('need', 'VBP'), ('pass', 'NN'), ('soft', 'JJ'), ('copies', 'NNS')]","[('user', 'JJ'), ('interface', 'NN'), ('read', 'VBD'), ('whole', 'JJ'), ('announcement', 'NN'), ('laptops', 'NNS'), ('cropped', 'VBD'), ('mobile', 'JJ'), ('phones', 'NNS')]","[('referring', 'VBG'), ('27', 'CD'), ('change', 'NN'), ('interface', 'NN'), ('platform', 'NN'), ('user', 'NN'), ('friendly', 'RB'), ('one', 'CD'), ('easily', 'RB'), ('accessed', 'VBN'), ('understand', 'NN')]"
"[('complete', 'JJ'), ('modules', 'NNS')]","[('video', 'NN'), ('presentations', 'NNS')]","[('time', 'NN'), ('answering', 'VBG'), ('assignments', 'NNS'), ('quizzes', 'NNS')]"
"[('task', 'NN'), ('anytime', 'NN'), ('home', 'NN')]","[('easy', 'JJ'), ('use', 'NN')]","[('time', 'NN'), ('limit', 'NN')]"
"[('easy', 'JJ'), ('use', 'NN')]","[('information', 'NN'), ('organised', 'VBD')]","[('make', 'VB'), ('easier', 'JJR'), ('find', 'VB'), ('task', 'NN'), ('given', 'VBN'), ('instructor', 'NN')]"
"[('informative', 'JJ')]","[('neutral', 'JJ')]","[('notify', 'RB'), ('repeatedly', 'RB'), ('owner', 'NN'), ('account', 'NN'), ('open', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('review', 'NN'), ('exam', 'NN')]","[('canvas', 'NN'), ('quite', 'RB'), ('confusing', 'JJ'), ('sometimes', 'RB')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('learn', 'NNS'), ('need', 'VBP'), ('learn', 'JJ'), ('class', 'NN')]","[('taking', 'VBG'), ('seatwork', 'NN'), ('canvas', 'NN'), ('easy', 'JJ')]","[('none', 'NN')]"
"[('easy', 'JJ'), ('access', 'NN')]","[('time', 'NN'), ('limit', 'NN')]","[('longer', 'JJR'), ('time', 'NN'), ('limit', 'NN'), ('longer', 'JJR'), ('due', 'JJ'), ('date', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('open', 'JJ'), ('canvas', 'NN'), ('anytime', 'NN')]","[('least', 'JJS'), ('like', 'IN'), ('canvas', 'NN'), ('quizzes', 'NNS'), ('give', 'VBP'), ('us', 'PRP'), ('time', 'NN'), ('limit', 'NN'), ('answered', 'VBD'), ('na', 'JJ'), ('question', 'NN')]","[('neutral', 'JJ')]"
"[('less', 'JJR'), ('time', 'NN'), ('consuming', 'VBG')]","[('deadline', 'JJ'), ('time', 'NN'), ('limit', 'NN'), ('enough', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('accesibility', 'NN'), ('portability', 'NN')]","[('doesnt', 'NN'), ('really', 'RB'), ('send', 'JJ'), ('notifications', 'NNS'), ('right', 'RB'), ('away', 'RB'), ('things', 'NNS'), ('finish', 'JJ'), ('answer', 'NN')]","[('nothing', 'NN')]"
"[('ease', 'NN'), ('access', 'NN'), ('aasignments', 'NNS')]","[('announcements', 'NNS'), ('pull', 'VBP'), ('sometimes', 'RB'), ('either', 'RB'), ('get', 'VB'), ('notified', 'JJ'), ('get', 'VB'), ('notified', 'VBN'), ('late', 'JJ')]","[('better', 'RBR'), ('way', 'NN'), ('notifying', 'JJ'), ('students', 'NNS')]"
"[('modules', 'NNS'), ('time', 'NN'), ('advance', 'NN'), ('reading', 'NN')]","[('code', 'NN'), ('activity', 'NN')]","[('make', 'VB'), ('alarm', 'NN'), ('canvas', 'NN'), ('remember', 'VBP'), ('activity', 'NN'), ('need', 'NN')]"
"[('easy', 'JJ'), ('use', 'NN'), ('access', 'NN'), ('canvas', 'NN'), ('everywhere', 'RB'), ('internet', 'JJ'), ('connection', 'NN')]","[('time', 'NN'), ('limit', 'NN'), ('assignments', 'NNS'), ('everyone', 'NN'), ('good', 'JJ'), ('internet', 'NN'), ('homes', 'NNS'), ('may', 'MD'), ('cause', 'VB'), ('disadvantage', 'NN'), ('passing', 'VBG'), ('assignments', 'NNS'), ('time', 'NN'), ('recommend', 'VBP'), ('change', 'NN'), ('make', 'VBP'), ('open', 'JJ'), ('time', 'NN'), ('dont', 'NN'), ('worry', 'VBP'), ('passing', 'VBG'), ('assignments', 'NNS'), ('canvas', 'NN'), ('anytime', 'NN')]","[('open', 'JJ'), ('time', 'NN'), ('access', 'NN'), ('assignments', 'NNS'), ('canvas', 'VBP'), ('deadline', 'VB'), ('everyone', 'NN'), ('good', 'JJ'), ('internet', 'NN'), ('connection', 'NN'), ('dont', 'NN'), ('worry', 'VBP'), ('pass', 'NN'), ('assignments', 'NNS'), ('time', 'NN'), ('time', 'NN'), ('limit', 'NN'), ('anymore', 'RB')]"
"[('convenience', 'NN'), ('learn', 'VBD'), ('even', 'RB'), ('outside', 'JJ'), ('campus', 'NN')]","[('prone', 'NN'), ('laziness', 'NN'), ('students', 'NNS')]","[('neutral', 'JJ')]"
"[('accessibility', 'NN'), ('canvas', 'NN'), ('wherever', 'NN'), ('go', 'VBP')]","[('prone', 'NN'), ('laziness', 'NN')]","[('nothing', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('please', 'VB'), ('upload', 'JJ'), ('modules', 'NNS'), ('activities', 'NNS'), ('early', 'RB')]"
"[('modules', 'NNS'), ('announcement', 'NN')]","[('neutral', 'JJ')]","[('appreciate', 'NN'), ('task', 'NN'), ('activities', 'NNS'), ('students', 'NNS'), ('pressure', 'NN'), ('students', 'NNS'), ('follow', 'VBP'), ('instruction', 'NN'), ('given', 'VBN'), ('activites', 'NNS')]"
"[('open', 'JJ'), ('lessons', 'NNS'), ('anytime', 'VBP')]","[('neutral', 'JJ')]","[('learn', 'JJ'), ('appreciate', 'NN'), ('estimate', 'NN'), ('works', 'VBZ'), ('skills', 'NNS'), ('students', 'NNS'), ('follow', 'VB'), ('given', 'VBN'), ('activities', 'NNS'), ('canvas', 'VBP'), ('pressure', 'NN'), ('students', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('examination', 'NN'), ('batch', 'NN'), ('1', 'CD'), ('batch', 'NN'), ('2', 'CD'), ('also', 'RB'), ('sections', 'NNS'), ('inside', 'IN'), ('examination', 'NN'), ('room', 'NN')]"
"[('lesson', 'NN')]","[('tou', 'RB'), ('much', 'JJ'), ('activities', 'NNS'), ('deadlines', 'NNS')]","[('put', 'VB'), ('powerpoint', 'NN'), ('presentation', 'NN'), ('summaries', 'NNS'), ('discussion', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('professor', 'NN'), ('must', 'MD'), ('discuss', 'VB'), ('lesson', 'NN'), ('written', 'VBN'), ('canvas', 'VBP'), ('rely', 'RB'), ('canvas', 'JJ')]"
"[('system', 'NN')]","[('notification', 'NN'), ('delayed', 'VBD')]","[('better', 'JJR'), ('optimization', 'NN'), ('apple', 'NN'), ('devices', 'NNS')]"
"[('neutral', 'JJ')]","[('activities', 'NNS')]","[('lessons', 'NNS'), ('powerpoint', 'VBP'), ('presentation', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('accessible', 'JJ')]","[('many', 'JJ'), ('activities', 'NNS'), ('needed', 'VBD'), ('pass', 'NN')]","[('put', 'NN'), ('lessons', 'NNS'), ('powerpoint', 'VBP'), ('presentation', 'NN'), ('easier', 'JJR'), ('students', 'NNS'), ('summarize', 'VBP'), ('important', 'JJ'), ('terms', 'NNS'), ('slides', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('modules', 'NNS'), ('assignments', 'NNS')]","[('grades', 'NNS')]","[('please', 'NN'), ('due', 'JJ'), ('date', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('use', 'NN')]","[('timing', 'VBG'), ('test', 'NN')]","[('improve', 'VB')]"
"[('accessible', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('announcement', 'NN')]","[('module', 'NN'), ('activities', 'NNS'), ('pass', 'VBP'), ('trough', 'IN'), ('powerpoint', 'NN')]","[('improve', 'VB'), ('module', 'NN'), ('easily', 'RB'), ('undersand', 'JJ'), ('lessons', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('use', 'NN'), ('canvas', 'NN'), ('conducting', 'VBG'), ('prelim', 'JJ'), ('midterm', 'JJ'), ('final', 'JJ'), ('exam', 'NN'), ('unnecessary', 'JJ'), ('face', 'NN'), ('face', 'NN'), ('examination', 'NN'), ('still', 'RB'), ('better', 'RBR')]"
"[('online', 'NN')]","[('submit', 'NN'), ('button', 'NN'), ('sometimes', 'RB'), ('missing', 'VBG')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('made', 'VBN'), ('understand', 'JJ'), ('lessons', 'NNS'), ('better', 'RBR')]","[('complicated', 'VBN'), ('especially', 'RB'), ('notification', 'JJ'), ('even', 'RB'), ('already', 'RB'), ('reached', 'VBN'), ('deadline', 'NN'), ('still', 'RB'), ('causes', 'VBZ'), ('old', 'JJ'), ('notifications', 'NNS'), ('new', 'JJ'), ('notifications', 'NNS'), ('mixed', 'JJ')]","[('maitainance', 'NN'), ('maybe', 'RB'), ('twice', 'RB'), ('month', 'NN'), ('avoid', 'JJ'), ('bugging', 'VBG'), ('improve', 'NN'), ('system', 'NN')]"
"[('helps', 'VBZ'), ('keep', 'VB'), ('track', 'NN'), ('tasks', 'NNS'), ('done', 'VBN'), ('done', 'VBN'), ('yet', 'RB')]","[('tasks', 'NNS'), ('quizzes', 'VBZ'), ('locked', 'VBN'), ('said', 'VBD'), ('date', 'NN')]","[('canvas', 'NN'), ('notify', 'CC'), ('upcoming', 'JJ'), ('task', 'NN'), ('deadline', 'NN'), ('like', 'IN'), ('social', 'JJ'), ('medias', 'NNS'), ('serve', 'VBP'), ('reminder', 'NN'), ('student', 'NN')]"
"[('process', 'NN'), ('canvas', 'NN')]","[('canvas', 'NN')]","[('use', 'NN'), ('canvas', 'NN')]"
"[('take', 'VB'), ('time', 'NN'), ('answer', 'NN'), ('quizzes', 'JJ'), ('activities', 'NNS'), ('etc', 'VBP')]","[('quizzes', 'NNS'), ('lock', 'VBP'), ('codes', 'NNS')]","[('canvas', 'NN'), ('provide', 'IN'), ('code', 'NN'), ('can', 'MD'), ('not', 'RB'), ('missed', 'VBN'), ('quiz', 'NN'), ('activity', 'NN'), ('deadline', 'NN'), ('period', 'NN')]"
"[('easy', 'JJ'), ('access', 'NN')]","[('nothing', 'NN')]","[('subject', 'JJ'), ('canvas', 'NN')]"
"[('new', 'JJ'), ('student', 'NN'), ('jose', 'NN'), ('rizal', 'VBP'), ('university', 'NN'), ('like', 'IN'), ('best', 'JJS'), ('canvas', 'NN'), ('easy', 'JJ'), ('access', 'NN'), ('especially', 'RB'), ('quizzes', 'VBZ'), ('passing', 'NN'), ('requirements', 'NNS'), ('answering', 'VBG'), ('modules', 'NNS'), ('also', 'RB'), ('review', 'VBP'), ('modules', 'NNS'), ('anytime', 'RB')]","[('noticed', 'VBN'), ('professor', 'NN'), ('lesson', 'NN'), ('canvas', 'NN')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'NN'), ('professor', 'NN'), ('must', 'MD'), ('taught', 'VB'), ('modules', 'NNS'), ('canvas', 'VB'), ('easy', 'JJ'), ('us', 'PRP'), ('understand', 'VBP'), ('take', 'VB'), ('prelim', 'NN'), ('exam', 'NN'), ('exam', 'JJ'), ('part', 'NN'), ('lesson', 'NN'), ('professor', 'NN')]"
"[('like', 'IN'), ('best', 'JJS'), ('canvas', 'NN'), ('easily', 'RB'), ('access', 'NN'), ('anytime', 'NN'), ('anywhere', 'RB')]","[('like', 'IN'), ('least', 'JJS'), ('canvas', 'JJ'), ('notification', 'NN'), ('notify', 'IN'), ('something', 'NN'), ('new', 'JJ'), ('work', 'NN')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('notification', 'NN'), ('mobile', 'NN'), ('users', 'NNS'), ('easily', 'RB'), ('notify', 'VB'), ('something', 'NN'), ('new', 'JJ'), ('study', 'NN'), ('work', 'NN')]"
"[('accessible', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('like', 'IN'), ('best', 'JJS'), ('canvas', 'NN'), ('loading', 'VBG'), ('fast', 'RB')]","[('like', 'IN'), ('least', 'JJS'), ('canvas', 'NN'), ('cooperate', 'NN')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('good', 'JJ')]"
"[('accessible', 'JJ')]","[('minimal', 'JJ'), ('issues', 'NNS')]","[('provide', 'NN'), ('options', 'NNS')]"
"[('accessibility', 'NN')]","[('none', 'NN')]","[('none', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('helps', 'NN'), ('lot', 'NN'), ('tasks', 'NNS')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('topic', 'NN'), ('exam', 'NN'), ('module', 'NN')]","[('much', 'JJ'), ('read', 'VB'), ('sometimes', 'RB'), ('much', 'JJ'), ('requirements', 'NNS'), ('school', 'NN'), ('time', 'NN'), ('read', 'JJ'), ('materials', 'NNS'), ('canvas', 'VBP'), ('sometimes', 'RB'), ('hard', 'JJ'), ('log', 'NN')]","[('notifications', 'NNS'), ('alert', 'VBP')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('send', 'JJ'), ('notification', 'NN'), ('assignment', 'NN'), ('forum', 'NN'), ('activity', 'NN')]"
"[('see', 'VB'), ('scores', 'NNS'), ('immediately', 'RB'), ('take', 'VBP'), ('kind', 'NN'), ('exam', 'NN'), ('put', 'VBD')]","[('need', 'NN'), ('internet', 'NN'), ('access', 'NN')]","[('hope', 'VB'), ('new', 'JJ'), ('professor', 'NN'), ('teach', 'VBP'), ('us', 'PRP'), ('depending', 'VBG'), ('trip', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('enough', 'JJ'), ('time', 'NN'), ('answer', 'VB'), ('quiz', 'NN'), ('etc', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('mobility', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('home', 'NN')]","[('understandable', 'JJ'), ('lesson', 'NN'), ('cant', 'NN'), ('ask', 'NN'), ('prof', 'NN')]","[('neutral', 'JJ')]"
"[('scheduled', 'VBN'), ('quizes', 'JJ'), ('assignments', 'NNS'), ('announcement', 'NN'), ('professor', 'NN')]","[('chat', 'NN'), ('room', 'NN')]","[('neutral', 'JJ')]"
"[('handy', 'NN')]","[('needed', 'VBN'), ('continually', 'RB'), ('check', 'VB')]","[('suggest', 'RB'), ('give', 'VB'), ('us', 'PRP'), ('time', 'NN'), ('bonding', 'VBG'), ('friends', 'NNS'), ('family', 'NN')]"
"[('making', 'VBG'), ('quizzes', 'NNS'), ('easier', 'JJR'), ('help', 'NN'), ('modules', 'NNS'), ('giving', 'VBG'), ('early', 'JJ'), ('announcement', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easily', 'RB'), ('access', 'NN'), ('module', 'NN'), ('lesson', 'NN'), ('subject', 'NN')]","[('sometimes', 'RB'), ('forgot', 'JJ'), ('quiz', 'JJ'), ('canvas', 'NN')]","[('develop', 'VB'), ('internet', 'JJ'), ('connection', 'NN'), ('jru', 'NN'), ('specially', 'RB'), ('wifi', 'VBZ'), ('thankyou', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('like', 'IN'), ('notification', 'NN'), ('reminder', 'NN'), ('mobile', 'NN')]"
"[('lot', 'NN'), ('stuff', 'NN'), ('course', 'NN')]","[('neutral', 'JJ')]","[('would', 'MD'), ('like', 'VB'), ('notify', 'RB'), ('mobile', 'JJ')]"
"[('organized', 'VBN'), ('materials', 'NNS'), ('lessons', 'NNS'), ('discussions', 'NNS')]","[('codes', 'NNS'), ('submission', 'VBP'), ('button', 'NN')]","[('quizzes', 'NNS'), ('done', 'VBN'), ('classroom', 'NN')]"
"[('neutral', 'JJ')]","[('notifications', 'NNS'), ('due', 'JJ'), ('date', 'NN')]","[('remove', 'VB'), ('canvas', 'NN'), ('asap', 'NN')]"
"[('used', 'VBN'), ('ideas', 'NNS'), ('whenever', 'WRB'), ('hands', 'NNS')]","[('sometimes', 'RB'), ('transparent', 'JJ'), ('source', 'NN'), ('materials', 'NNS'), ('want', 'VBP'), ('know', 'VB')]","[('components', 'NNS'), ('could', 'MD'), ('able', 'JJ'), ('undergo', 'JJ'), ('things', 'NNS'), ('much', 'JJ'), ('canvass', 'NN')]"
"[('study', 'NN'), ('advance', 'NN')]","[('study', 'NN'), ('lessons', 'NNS'), ('home', 'NN')]","[('nothing', 'NN')]"
"[('helpful', 'JJ'), ('specially', 'RB'), ('working', 'VBG'), ('student', 'NN'), ('like', 'IN'), ('helps', 'VBZ'), ('lot', 'RB'), ('stable', 'JJ'), ('grades', 'NNS'), ('also', 'RB'), ('canvas', 'VBP'), ('access', 'NN'), ('anywhere', 'RB')]","[('access', 'NN'), ('anywhere', 'RB'), ('anytime', 'RB'), ('login', 'JJ'), ('access', 'NN'), ('mean', 'NN'), ('ahhmm', 'NN'), ('date', 'NN'), ('unlocked', 'VBD'), ('canvas', 'NN'), ('quizzes', 'NNS'), ('due', 'JJ'), ('date', 'NN'), ('experience', 'NN'), ('history', 'NN'), ('subject', 'JJ'), ('prof', 'NN'), ('open', 'JJ'), ('afternoon', 'NN'), ('close', 'RB'), ('within', 'IN'), ('8hrs', 'CD'), ('many', 'JJ'), ('us', 'PRP'), ('classmate', 'VBP'), ('take', 'VB'), ('quiz', 'NN'), ('scenario', 'NN')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'VB'), ('give', 'JJ'), ('much', 'RB'), ('longer', 'JJR'), ('time', 'NN'), ('answering', 'VBG'), ('quizzes', 'NNS'), ('inside', 'IN'), ('canvas', 'NN'), ('also', 'RB'), ('due', 'JJ'), ('date', 'NN'), ('specially', 'RB'), ('history', 'NN'), ('subject', 'JJ'), ('struggle', 'NN'), ('answering', 'VBG'), ('subject', 'JJ'), ('time', 'NN'), ('limit', 'NN'), ('thats', 'NNS'), ('get', 'VBP'), ('lowest', 'JJS'), ('grades', 'NNS'), ('always', 'RB')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('prof', 'NN'), ('reply', 'NN'), ('email', 'JJ'), ('message', 'NN'), ('students', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('well', 'RB'), ('online', 'JJ'), ('meaning', 'VBG'), ('access', 'NN'), ('anywhere', 'RB'), ('everytime', 'RB'), ('since', 'IN'), ('sometimes', 'RB'), ('crashes', 'NNS')]","[('sometimes', 'RB'), ('quizzes', 'JJ'), ('access', 'NN'), ('code', 'NN'), ('know', 'VBP'), ('answer', 'JJR'), ('quizzes', 'NNS')]","[('proper', 'JJ'), ('orientation', 'NN'), ('regarding', 'VBG'), ('canvas', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('able', 'JJ'), ('see', 'NN'), ('scores', 'NNS')]","[('modules', 'NNS'), ('well', 'RB'), ('organized', 'VBN'), ('professors', 'NNS'), ('tackle', 'VBP'), ('lessons', 'NNS'), ('canvas', 'VBP')]","[('remove', 'VB'), ('canvas', 'NN')]"
"[('less', 'JJR'), ('paper', 'NN'), ('works', 'NNS')]","[('access', 'NN'), ('code', 'NN'), ('quizzes', 'NNS')]","[('remove', 'VB'), ('access', 'NN'), ('code', 'NN'), ('therefore', 'IN'), ('students', 'NNS'), ('answer', 'VBP'), ('quiz', 'NN'), ('immediately', 'RB')]"
"[('modules', 'NNS'), ('help', 'VBP'), ('us', 'PRP'), ('students', 'NNS'), ('prepared', 'VBD'), ('quizzes', 'NNS'), ('exams', 'NNS')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('knowing', 'VBG'), ('assignment', 'NN'), ('quiz', 'NN')]","[('communivate', 'NN'), ('teacher', 'NN'), ('classmate', 'NN')]","[('nothing', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('forums', 'NNS')]","[('forums', 'NNS')]","[('nothing', 'NN')]"
